Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-17,80.05999755859375,80.37999725341797,79.26000213623047,79.91999816894531,4040300,0,0
2022-08-18,79.7699966430664,79.88999938964844,79.01000213623047,79.20999908447266,4000400,0,0
2022-08-19,78.5,78.58999633789062,77.2699966430664,77.72000122070312,3614700,0,0
2022-08-22,76.12999725341797,76.16999816894531,74.36000061035156,74.77999877929688,5073400,0,0
2022-08-23,74.98999786376953,77.30000305175781,74.91999816894531,76.0999984741211,4761400,0,0
2022-08-24,76.1500015258789,77.27999877929688,75.87999725341797,76.73999786376953,4765700,0,0
2022-08-25,77.37000274658203,79.68000030517578,77.30999755859375,78.13999938964844,5201700,0,0
2022-08-26,78.38999938964844,78.62000274658203,75.20999908447266,75.2699966430664,5375900,0,0
2022-08-29,74.83999633789062,76.83999633789062,74.27999877929688,76.05000305175781,4902400,0,0
2022-08-30,76.76000213623047,77.18000030517578,74.33000183105469,75.12999725341797,4290300,0,0
2022-08-31,75.41000366210938,75.79000091552734,73.36000061035156,73.44000244140625,6401000,0,0
2022-09-01,73.25,73.25,71.43000030517578,73.08000183105469,4985500,0,0
2022-09-02,73.79000091552734,74.36000061035156,72.11000061035156,72.43000030517578,4035600,0,0
2022-09-06,72.5,72.63999938964844,71.13999938964844,72.16000366210938,4032700,0,0
2022-09-07,71.9000015258789,73.73999786376953,71.72000122070312,73.58000183105469,3423100,0,0
2022-09-08,72.54000091552734,74.08000183105469,72.08000183105469,73.7699966430664,3620100,0,0
2022-09-09,74.52999877929688,74.97000122070312,73.68000030517578,74.04000091552734,6725800,0,0
2022-09-12,74.41000366210938,76.48999786376953,74.26000213623047,75.31999969482422,7265300,0,0
2022-09-13,73.26000213623047,73.86000061035156,70.62000274658203,70.83999633789062,7210800,0,0
2022-09-14,70.69999694824219,71.0,68.68000030517578,70.02999877929688,6210300,0,0
2022-09-15,69.77999877929688,70.79000091552734,68.75,68.91000366210938,4927300,0,0
2022-09-16,65.4000015258789,66.5999984741211,65.18000030517578,66.38999938964844,14303700,0,0
